sep=,NAME,CITY,ADDRESS1,field_5,field_6,TEL,field_8,field_9,field_10,field_11,field_12,field_13,field_14,field_15,OPIS
"25","Пожарно-спасательная часть №11, 24 отряд ФПС ГПС по Кемеровской области",Новокузнецк,"Космическое шоссе, 16а",,"654043","+7 (3843) 59–18–13, +7 (3843) 59–32–77",,,,,,87.257251,53.872162,Аварийные / справочные / экстренные службы,Пожарная охрана
"31","Пожарно-спасательная часть №1, 11 отряд ФПС по Кемеровской области",Новокузнецк,"Вологодского проезд, 1",,"654005",+7 (3843) 46–44–18,,,,,,87.113991,53.771252,Аварийные / справочные / экстренные службы,Пожарная охрана
"33","Пожарно-спасательная часть №6, агентство по защите населения и территории по Кемеровской области",Новокузнецк,"Левашова, 2Б",,"654101",+7 (3843) 32–40–55,,,,,,87.250842,53.735007,Аварийные / справочные / экстренные службы,Пожарная охрана
"29","Пожарно-спасательная часть №2, 11 отряд ФПС по Кемеровской области",Новокузнецк,"Ленина, 80",,"654034","+7 (3843) 377–213, +7 (3843) 377–231",,,,,,87.217868,53.782486,Аварийные / справочные / экстренные службы,Пожарная охрана
"30","23 отряд ОФПС ГПС по Кемеровской области, ФКУ",Новокузнецк,"Коммунальная, 17",,"654005","+7 (3843) 79–48–52, +7 (3843) 79–21–25",,,,,,87.081942,53.772888,Аварийные / справочные / экстренные службы,Пожарная охрана
"37","Пожарно-спасательная часть №10, 23 отряд ФПС ГПС по Кемеровской области",Новокузнецк,"Кондомское шоссе, 39",,"654018","+7 (3843) 70–67–01, +7 (3843) 70–67–42",,,,,,87.200822,53.721015,Аварийные / справочные / экстренные службы,Пожарная охрана
"42","Пожарная часть №7, 23 отряд ОФПС ГПС по Кемеровской области",Новокузнецк,"Коммунальная, 17",,"654005","+7 (3843) 79–25–87, +7 (3843) 79–25–97, +7 (3843) 79–25–93",,,,,,87.081942,53.772888,Аварийные / справочные / экстренные службы,Пожарная охрана
"22","Пожарно-спасательная часть №5, 11 отряд ФПС по Кемеровской области",Новокузнецк,"Авиаторов проспект, 27",,"654011","+7 (3843) 61–40–57, +7 (3843) 61–67–68",,,,,,87.115685,53.898394,Аварийные / справочные / экстренные службы,Пожарная охрана
"23","Пожарно-спасательная часть №3, 11 отряд ФПС по Кемеровской области",Новокузнецк,"Мелькомбинатовский переулок, 2",,"654029","+7 (3843) 71–91–94, +7 (3843) 71–98–58",,,,,,87.128654,53.740851,Аварийные / справочные / экстренные службы,Пожарная охрана
"20","11 отряд ФПС по Кемеровской области, ФГКУ",Новокузнецк,"Пионерский проспект, 3а",,"654027","+7 (3843) 74–71–02, +7 (3843) 74–37–76, +7 (3843) 74–54–44, +7 (3843) 74–43–04",,,,,,87.104264,53.76141,Аварийные / справочные / экстренные службы,Пожарная охрана
"21","Пожарная часть №13, 11 отряд ФПС по Кемеровской области",Новокузнецк,"40 лет ВЛКСМ, 1е",,"654031","+7 (3843) 52–80–80, +7 (3843) 52–80–60, +7 (3843) 52–80–87",,,,,,87.190494,53.837734,Аварийные / справочные / экстренные службы,Пожарная охрана
"27","Пожарно-спасательная часть №8, 11 отряд ФПС по Кемеровской области",Новокузнецк,"Димитрова, 39",,"654063",+7 (3843) 73–46–98,,,,,,87.049305,53.750229,Аварийные / справочные / экстренные службы,Пожарная охрана
"28","Пожарная часть №9, 11 отряд ФПС по Кемеровской области",Новокузнецк,"Кубинская, 23Б",,"654102",,,,,,,86.961896,53.676453,Аварийные / справочные / экстренные службы,Пожарная охрана
"24","Пожарная часть №4, 11 отряд ФПС по Кемеровской области",Новокузнецк,"Тульская, 33",1 этаж,"654002",+7 (3843) 92–03–18,,,,,,87.303025,53.789078,Аварийные / справочные / экстренные службы,Пожарная охрана
